Date,Place,Street,Railroad,Description
23/03/16 6:25,"SENECA, KANSAS",6TH STREET,Union Pacific Railroad Company,"A FORKLIFT WAS USING THE PEDESTRIAN CROSSING THAT WAS ADJACENT TO THE MAIN CROSSING WHEN THE DRIVERTURNED TOO SHARP RIGHT AND CAUSED THE FORKLIFT TO GET HUNG UP ON THE TRACKS. THE DRIVER WALKED AWAY TO GET ASSISTANCE FROM HIS CO-WORKERS (AT THE FAIR VIEW MILLS), THEN LATER ON THE TRAIN CAME THROUGH AND STRUCK THE FORKLIFT. DRIVER'S INFO UNKNOWN"
23/03/16 5:50,"ARLINGTON, TEXAS",PRIVATE,Union Pacific Railroad Company,SEMI TRUCK DID NOT STOP PRIOR TO ENTERING THE CROSSING.
23/03/16 2:30,"OCALA, FLORIDA",NE 95TH STREET,CSX Transportation,SOUTHBOUND Q18722 WAS STRUCK BY OCCUPIED 2006 FORD RANGER TRAVELING EAST ON NE 95TH STREET. PROTECTION ALSO AT CROSSING: ADVANCE WARNING AND PAVEMENT MARKINGS (STOP LINES & RR XING SYMBOLS).
22/03/16 16:20,"BATON ROUGE, LOUISIANA",ESSEN LANE,Kansas City Southern Railway Company,THE TRAIN STRUCK A VEHICLE THAT BECAME TRAPPED ON THE CROSSING AT MP 794.45 IN THE NEW ORLEANS SUBDIVISION. DRIVER AND HER THREE YR OLD CHILD WERE TRANSPORTED. A ONE YEAR OLD FEMALE WAS NOT INJURED.ACTUAL BIRTHDATES FOR CHILDREN WERE NOT AVAILABLE.
22/03/16 16:20,"CHARLOTTE, MICHIGAN",CLINTON ST,Grand Trunk Western Railroad Incorporated,THREE TEENAGERS WERE STANDING IN THE GAGE OF THE TRACKS BETWEEN THE GATES AT THE CLINTON ST. CROSSING. TWO OF THE TEENAGERS GOT OUT OF THE WAY IN TIME AND THE THIRD INDIVIDUAL WAS STRUCK BY THE LOCOMOTIVE AND INJURED. ALL WARNING DEVICES WERE WORKING AT THE TIME OF THE INCIDENT.
22/03/16 15:30,"JACKSONVILLE, FLORIDA",YARD XINGS,Florida East Coast Railway Company,RAMP JOB WAS IN THE PROCESS OF SPOTTING CRANE #4 AND CONDUCTOR STOPPED ALL TRAFFIC AT THE NORTH ENDOF CRANE #4 AND STARTED TO PROCEED SOUTH TO A JOINT WHEN A TRUCK DRIVER PULLED IN FRONT OF HIS CUT AND WAS STRUCK BY DTTX 726312. NO PERSONAL INJURIES WERE SUSTAINED. THE TRACTOR FUEL TANK WAS RUPTURED CAUSING A FUEL SPILL OF APPROXIMATELY 20 GALLONS OF DIESEL FUEL.
22/03/16 14:42,"EAST CHICAGO, INDIANA",COLUMBIA AVE,CSX Transportation,"Y12522 STOPPED AT COLUMBIA AVE AND LINED THEIR ROUTE TO OCCUPY THE WEST LEG OF THE WYE. AFTER LINING THE SWITCH AND PULLING EAST, Y12522 WAS NOTIFIED BY A FLAGMAN THAT A BLACK 2002 CHEVROLET BLAZER SUV STRUCK THE WEST END OF THE 15TH CAR IN THEIR CONSIST. PROTECTION ALSO AT CROSSING: PAVEMENT MARKINGS (STOP LINES & RR XING SYMBOLS). THE TRAIN WAS OCCUPYING THE CROSSING WHEN THE CAR RAN IN TO THE SIDE OF IT."
22/03/16 14:22,"KNIPPA, TEXAS",FM1049,Union Pacific Railroad Company,SEMI TRUCK WAS TRAPPED ON THE CROSSING BY TRAFFIC.
22/03/16 13:08,"SOUTHOLD, NEW YORK",ELIJAHS LANE,Long Island Rail Road,"THE INCIDENT VEHICLE WAS HEADING SOUTHBOUND ON ELIJAH LANE IN MATTITUCK, PROCEEDED THROUGH THE CROSSING GATES, THEN STOPPED ON THE CROSSING IN THE FOUL OF THE ONCOMING WESTBOUND TRAIN 203 AND WAS SUBSEQUENTLY STRUCK."
22/03/16 7:55,"HOUSTON, TEXAS",KEMPWOOD DR,Union Pacific Railroad Company,DRIVER WAS STUCK ON THE CROSSING WITH A TRAILER PRIOR TO THE GATES DESCENDING.
21/03/16 18:06,"OAKLAND PARK, FLORIDA",OAKLAND PARK BLVD,South Florida Regional Transit Authority,"OPERATOR OF HIGHWAY VEHICLE, CAUGHT BETWEEN THE GATES, MOVED FORWARD INTO THE PATH OF THE TRAIN ANDWAS STRUCK. DRIVER SUSTAINED NON LIFE THREATENING INJURIES AND WAS TRANSPORTED TO A MEDICAL FACILITY FOR TREATMENT. ALL CROSSING WARNING DEVICES WERE FUNCTIONING AS INTENDED."
21/03/16 12:35,"N/A, GEORGIA",CR 105/JONES RD.,Norfolk Southern Corporation,NS TRAIN G23G521 STRUCK A HWY-USER AT A HWY-GRADE CROSSING.
21/03/16 0:11,"ACWORTH, GEORGIA",OLD ALLATOONA RD,CSX Transportation,MOTORIST STRUCK Q21119 AT CROSSING. Q21119 UNKNOWINGLY DRUG VEHICLE 200 YARDS AND INTO A TREE.
20/03/16 21:50,"EATON, COLORADO",COLLINS AVE,Union Pacific Railroad Company,DRIVER OF THE VEHICLE WAS DISTRACTED BY A DOG IN THE CAR AND WENT THROUGH THE ACTIVATED GATES HITTING THE RAIL CAR. HIGHWAY USER'S ACTIONS: WENT THROUGH THE GATE - MOVING
20/03/16 13:40,"GARYSBURG, NORTH CAROLINA",SCHOOL STREET,CSX Transportation,F77420 WAS APPROACHING THE ROAD CROSSING WHEN THE CREW SAW A CAR COMING TO THE CROSSING NOT LOOKINGLIKE IT WAS GOING TO STOP. THE ENGINEER KEPT BLOWING THE HORN AND THE CAR HIT THE LEAD ENGINE CSXT 5321 ON THE CONDUCTOR SIDE. PROTECTION ALSO AT CROSSING: ADVANCE WARNING.
20/03/16 12:20,ILLINOIS,MURRAY RD (CR 1500E),Illinois Central Railroad Company,"VEHICLE TRAVELING AT A HIGH RATE OF SPEED, FAILED TO YIELD TO THE ONCOMING TRAIN AT THE MURRAY ROADCROSSING."
19/03/16 23:37,"CARMI, ILLINOIS",900 E,"Evansville Western Railway, Inc.",HIGHWAY USER FAILED TO OBSERVE HIGHWAY SIGNS AND DID NOT STOP AT CROSSING. HIGHWAY USER WAS TRANSPORTED TO HOSPITAL WITH UNKNOWN INJURIES. NO INJURIES TO TRAIN CREW.
19/03/16 21:07,"MERCED, CALIFORNIA",MARTIN LUTHER KING W,Union Pacific Railroad Company,"BICYCLIST WAS RIDING AHEAD OF THE TRAIN, SHE FELL OFF HER BICYCLE AND WAS ABLE TO GET OUT OF THE WAY OF THE TRAIN BEFORE IT STRUCK THE BIKE."
19/03/16 18:35,"NEWARK, TEXAS",PRIVATE,Union Pacific Railroad Company,
19/03/16 17:18,MICHIGAN,UNNAMED DIRT ROAD,Wisconsin Central Ltd. (also Railway),TRUCK WITH A SNOWPLOW FAILED TO STOP AT THE UNNAMED DIRT ROAD CROSSING AND THE PLOW ON THE FRONT OFTHE TRUCK WAS HIT BY THE ONCOMING TRAIN. VEHICLE THEN LEFT THE SCENE. NO INFORMATION AVAILABLE ON THE OCCUPANTS IN THE VEHICLE OR THE VEHICLE.
19/03/16 15:47,"WESTLAKE, LOUISIANA",TROUSDALE ROAD,Union Pacific Railroad Company,DRIVER STOPPED AND THEN WENT AROUND THE ACTIVATED GATES. HIGHWAY USER'S ACTIONS: WENT AROUND THE GATE - MOVING
19/03/16 14:45,"HIGH POINT, NORTH CAROLINA",W. POINT AVENUE,Norfolk Southern Corporation,NS TRAIN 204P219 STRUCK A HWY-USER AT A HWY-GRADE CROSSING.
19/03/16 6:15,"PLANADA, CALIFORNIA",PLAINSBURG RD,BNSF Railway Company,DRIVER AGE UNKNOWN 41: UNOCCUPIED VEHICLE
19/03/16 4:40,TENNESSEE,SHELBY DR,BNSF Railway Company,DRIVER AGE UNKNOWN 41: UNOCCUPIED VEHICLE
19/03/16 2:45,CALIFORNIA,AVE 9,BNSF Railway Company,
18/03/16 23:35,"WILMINGTON, NORTH CAROLINA",KING STREET,CSX Transportation,Y32918 WAS CROSSING KING STREET. A CAR RAN INTO THE ENGINEER'S SIDE REAR OF THE LOCOMOTIVE. DRIVER GOT OUT OF THE VEHICLE AND PUT THE PIECES OF HIS CAR THAT FELL OFF UPON IMPACT BACK INTO HIS VEHICLE AND LEFT THE SCENE. THE CAR REAPPEARED WITH A DIFFERENT DRIVER AND MORE OCCUPANTS AND WAS ACCOMPANIED BY THE POLICE DEPARTMENT. PROTECTION ALSO AT CROSSING: ADVANCE WARNING AND PAVEMENT MARKINGS(STOP LINES & RR XING SYMBOLS).
18/03/16 19:58,"DEMING, NEW MEXICO",RUBY STREET,Union Pacific Railroad Company,VEHICLE WAS STOPPED ON CROSSING PRIOR TO THE GATES DESCENDING.
18/03/16 17:21,"TURLOCK, CALIFORNIA",MONTE VISTA RD,Union Pacific Railroad Company,PEDESTRIAN IGNORED THE ACTIVATED GATES AND WALKED/RAN INTO THE SIDE OF THE TRAIN.
18/03/16 16:45,LOUISIANA,US 84 - 2ND AVE,BNSF Railway Company,
18/03/16 13:30,"OAKLAND, CALIFORNIA",INTERMODAL FACILITY,Union Pacific Railroad Company,"SECURITY GUARD FOR THE JIT INTERMODAL FACILITY WAS PROTECTING THE TRAIN SHOVE WHEN A SEMI TRUCK APPROACHED THE CROSSING. HE STOPPED, THEN WENT AROUND THE SECURITY GUARD ATTEMPTING TO CROSS OVER THE TRACKS, WHEN THE TRAIN STRUCK THE SEMI TRUCK. #32 WARNING DEVICES - RR XING SIGN. HIGHWAY USER'S ACTIONS: STOPPED AND THEN PROCEEDED"
18/03/16 10:00,ARIZONA,BROADWAY AVE,Union Pacific Railroad Company,HIGHWAY USER'S ACTIONS: WENT THROUGH THE GATE - STOPPED.
18/03/16 8:17,ILLINOIS,HELM ROAD,Illinois Central Railroad Company,EASTBOUND DRIVER FAILED TO YIELD TO THE SOUTHBOUND TRAIN AT THE HELM ROAD CROSSING AND WAS HIT BY THE ONCOMING TRAIN. CROSSING MARKED WITH CROSSBUCK AND YIELD SIGNS.
18/03/16 6:15,COLORADO,COUNTY ROAD 18,Union Pacific Railroad Company,DRIVER OF AN SUV DID NOT STOP BEFORE ENTERING THE CROSSING.
18/03/16 1:55,"RIVERSIDE, CALIFORNIA",3RD ST,BNSF Railway Company,DRIVER AGE UNKNOWN 41: UNOCCUPIED VEHICLE
18/03/16 1:35,"SUWANEE, GEORGIA",CR1950/SUWANEE DAM R,Norfolk Southern Corporation,NS TRAIN P12P417 WAS STRUCK BY HWY-USER AT A HWY-GRADE CROSSING.
17/03/16 16:17,"GIBSON, NORTH CAROLINA",PRIVATE ROAD,CSX Transportation,S49217 GRAZED THE FRONT OF A TRACTOR THAT WAS FOULING THE CROSSING. MOTORIST AGE UNKNOWN.
17/03/16 11:15,"N/A, GEORGIA",CR 181/CONNELL LN.,Norfolk Southern Corporation,NS TRAIN 65QG317 WAS STRUCK BY A HWY-USER AT A HWY-GRADE CROSSING.
17/03/16 11:15,"HUTCHINSON, KANSAS",SEVERANCE ST,BNSF Railway Company,
17/03/16 9:36,"SAYBROOK, ILLINOIS",LINCOLN ST.,Norfolk Southern Corporation,NS TRAIN 54ED517 STRUCK A HWY-USER AT A HWY-GRADE CROSSING.
16/03/16 23:04,"LOMBARD, ILLINOIS",ELIZABETH STREET,Union Pacific Metra,VEHICLE WENT AROUND THE ACTIVATED GATES.
16/03/16 17:43,"LIVONIA, MICHIGAN",INKSTER ROAD,CSX Transportation,Q39216 STRUCK AN OCCUPIED GRAY 2001 JEEP GRAND CHEROKEE SUV WHEN THE MOTORIST DELIBERATELY WENT AROUND THE GATES. PROTECTION ALSO AT CROSSING: ADVANCE WARNING AND PAVEMENT MARKINGS (STOP LINES & RR XING SYMBOLS).
16/03/16 16:49,INDIANA,CR 115 W,Indiana Rail Road Company,DRIVER OF VEHICLE CAME UP ON CROSSING AND DID NOT SEE TRAIN UNTIL TOO LATE. SHE STOPPED ON CROSSINGTHEN PUT VEHICLE IN REVERSE AND STOPPED FOULING TRACK. THE COW CATCHER ON THE FRONT OF THE LOCOMOTIVE PULLED BUMPER OFF FRONT OF HER VEHCILE.
16/03/16 13:21,"FRENCH CAMP, CALIFORNIA",ASH STREET,Union Pacific Railroad Company,AN UNOCCUPIED TRAILER LOADED WITH GARBAGE WAS STUCK ON THE CROSSING PRIOR TO THE GATES DESCENDING.
16/03/16 10:25,"MANTON, MICHIGAN",NO. 14 RD,Great Lakes Central Railroad,DRIVER DID HEAR TRAIN BUT COULD NOT STOP. THE CROSSING HAS A CROSSBUCK AND A YIELD SIGN. NO RAIL EQUIP ACC/INC REPORT IS BEING FILED DO TO DAMAGE TO TRAIN DID NOT MEET THE THRESHOLD.
16/03/16 1:24,"PLANT CITY, FLORIDA",PRIVATE ROAD,CSX Transportation,"O82115 STRUCK AN UNOCCUPIED VEHICLE AT THE CROSSING. AGE, GENDER AND IDENTITY OF DRIVER ARE UNKNOWN."
15/03/16 12:45,OHIO,CANNON ROAD,Wheeling & Lake Erie Railway Company,663-15 WAS TRAVELING SOUTHBOUND ON THE CLEVELAND MAIN WHEN THE WERE INSTRUCTED BY THE DISPATCHER TOSTOP THEIR TRAIN DUE TO A CAR HAD RAN INTO THE SIDE OF THEIR TRAIN. THE CREW BROUGHT THE TRAIN TO ASTOP AND THE CONDUCTOR WALKED BACK TO INSPECT THE TRAIN AND TALK TO THE POLICE. THE CAR HAD STOPPEDAND THEN PROCEEDED INTO THE SIDE OF THE TRAIN HITTING THE 13TH CAR # GTX 406285. NOTE: #32 FOR THE TYPE OF CROSSING WARNING #11 DELINEATORS ARE AT THE CROSSING DUE TO A QUIET ZONE.
15/03/16 11:55,"EDMOND, OKLAHOMA",33RD STREET,BNSF Railway Company,41: PRECEDED GATES
15/03/16 9:30,ARKANSAS,COMMERCE DRIVE,BNSF Railway Company,
15/03/16 8:07,"N/A, SOUTH CAROLINA",SR 383/DELREE STREET,Norfolk Southern Corporation,NS TRAIN 156P014 STRUCK A HWY-USER AT A HWY-GRADE CROSSING.
15/03/16 8:00,"VINCENNES, INDIANA",NIBLACK BLVD,CSX Transportation,WHILE OPERATING AT MILEPOST 0ZA233.72 Q24414 WAS STRUCK BY AN AUTOMOBILE.
15/03/16 3:15,"STUART, FLORIDA",SALERNO ROAD,Florida East Coast Railway Company,"DRIVER, WITH ONE PASSENGER, WAS TRAVELING EAST ON SALERNO ROAD WHEN IT APPROACHED THE CROSSING. AFTER A MOMENTARY STOP, THE VEHICLE CONTINUED EAST AND ATTEMPTED TO DRIVE AROUND THE LOWERED GATE ARMSAT THE SALERNO ROAD CROSSING AND WAS STRUCK BY TRAIN. DRIVER AND PASSENGER SUSTAINED FATAL INJURIES."
14/03/16 19:02,"HOUSTON, TEXAS",FONDREN ROAD,Union Pacific Railroad Company,DRIVER WAS STUCK ON THE CROSSING BY THE TRAFFIC WAITING FOR THE RED LIGHT TO CHANGE. THEY ATTEMPTED TO MOVE OFF THE CROSSING BUT HAD NOWHERE TO GO.
14/03/16 18:00,"KALISPELL, MONTANA",FLATHEAD DR,Mission Mountain Railroad,"ON 3/15/2016 THE KALISPELL LOCAL WAS MAKING A SHOVE MOVEMENT FOR ABOUT 20 CAR LENGTHS TO PICK CONDUCTOR UP AT THE ENGINE. CONDUCTOR HAD THE POINT PROTECTED FROM THE GROUND AND CROSSING PROTECTED. CONDUCTOR INSTRUCTED THE ENGINEER TO BEING THE SHOVE STARTING HOW POINT WAS PROTECTED, THAT THEY WERE CLEAR FOR FIFTY CARS, THE CROSSING WAS PROTECTED, AND TO SHOVE TO PICKUP. THE CREW BEGAN THE SHOVE AND WHEN THE TRAIN GOT A FEW CAR LENGTHS OFF THE CROSSING THE CONDUCTOR NOTICE A BLUE VEHICLE APPROACHI"
13/03/16 18:31,MISSOURI,CO RD,BNSF Railway Company,
13/03/16 4:40,"RICHMOND, VIRGINIA",BROAD ROCK RD,Amtrak (National Railroad Passenger Corporation),"TRAIN 98 OPERATING WITH LOCOMOTIVES E/2-E/6 AND 10 CARS STRUCK AN UNOCCUPIED VEHICLE AT MP 3.08, BROAD ROCK RD CROSSING. THE VEHICLE WAS STALLED OR STUCK ON THE TRACKS. THE AGE OF THE DRIVER WAS NOT AVAILABLE. THERE WAS NO EQUIPMENT DAMAGE."
13/03/16 3:22,"KNOXVILLE, TENNESSEE",VALLEY GROVE LANE,CSX Transportation,Q54112 STRUCK AN UNOCCUPIED VEHICLE AT CROSSING. MOTORIST AGE UNKNOWN. PROTECTION ALSO AT CROSSING:ADVANCE WARNING.
12/03/16 19:21,"DELRAY BEACH, FLORIDA",ATLANTIC AV,South Florida Regional Transit Authority,"TRESPASSER CIRCUMVENTED THE CROSSING GATE, RAN IN FRONT OF THE ONCOMING TRAIN, AND WAS STRUCK. TRESPASSER SUSTAINED MULTIPLE CRITICAL INJURIES AND WAS TRANSPORTED TO A MEDICAL FACILITY FOR TREATMENT. CROSSING WARNING DEVICES WERE FUNCTIONING AS INTENDED."
12/03/16 18:20,"LOUISVILLE, KENTUCKY",DUMESNIL ST,Paducah & Louisville Railway Company,HIGHWAY USER FAILED TO OBSERVE HIGHWAY SIGNS AND SIGNALS AND DID NOT STOP AT CROSSING. TRAIN STRUCK HIGHWAY USER. NO INJURIES REPORTED TO CREW OR HIGHWAY USER. #14 IS UNKNOWN SPEED OF HIGHWAY USER WAS DRIVING
12/03/16 13:15,"PAUL, IDAHO",100 SOUTH,Eastern Idaho Railroad,"DOKIE FLIP NOTIFIED EASTERN IDAHO TRAINMASTER, JEREUD USCOLA AROUND 1309 HOURS AND STATED THAT A SMALL PICKUP TRUCK HAD RAN INTO THE SIDE OF THE LOCOMOTIVE, WAMX 3922 ON THE CONDUCTORS SIDE. UPON ARRIVING THE CONDUCTOR INFORMED THE TRAINMASTER THAT HE SEEN THE APPROACHING DRIVER NOT SLOWING DOWN AND PLACED THE TRAIN INTO EMERGENCY AND NOTIFIED THE LOCAL AUTHORITIES AND EMS. THE DRIVER WAS TRANSPORTED TO THE HOSPITAL BY EMS."
12/03/16 8:00,"OKLAHOMA CITY, OKLAHOMA",SE 44TH STREET,BNSF Railway Company,
12/03/16 0:30,"PORT ARTHUR, TEXAS",39TH STREET,Kansas City Southern Railway Company,THE TRAIN AND CREW WAS STOPPED AND TOLD THAT A CHEVY PICK UP TRUCK RAN INTO THE SIDE OF THE TRAIN. THE DRIVER LEFT THE SCENE AND LOCAL PD WAS NOT ABLE TO IDENTIFY VEHICLE OCCUPANTS. TRAIN INSPECTORS COULD FIND ANY RAILCARS WITH VISIBLE DAMAGE.
11/03/16 23:05,ARIZONA,OBED RD,BNSF Railway Company,DRIVER AGE UNKNOWN 41: UNOCCUPIED VEHICLE
11/03/16 22:50,"N/A, SOUTH CAROLINA",CO RD/JEWEL DRIVE,Norfolk Southern Corporation,NS TRAIN 907P311 STRUCK A HWY-USER AT A HWY-GRADE CROSSING. DRIVER'S AGE UNKNOWN.
11/03/16 22:26,"WILLIAMSTOWN, KENTUCKY",BARNES PIKE,Norfolk Southern Corporation,NS TRAIN 175T811 STRUCK A HWY-USER AT A HWY-GRADE CROSSING.
11/03/16 20:00,"LILLY, GEORGIA",MCGOUGH ROAD,CSX Transportation,X11812 STRUCK AN UNOCCUPIED VEHICLE THAT WAS WEDGED ON THE TRACKS. PROTECTION ALSO AT CROSSING: ADVANCE WARNING.
11/03/16 16:00,"FARMERSBURG, INDIANA",SAWMILL RD,CSX Transportation,WHILE OPERATING AT MILE POST 0ZA 193.34 T08111 STRUCK A VEHICLE ON ROAD CROSSING.
11/03/16 10:15,"GRAND FORKS, NORTH DAKOTA",4TH ST,BNSF Railway Company,41: RAN AROUND GATE
10/03/16 17:54,FLORIDA,GAY RD,Amtrak (National Railroad Passenger Corporation),"TRAIN 92 OPERATING WITH LOCOMOTIVE E/78 AND 7 CARS STRUCK AN UNOCCUPIED VEHICLE FOULING THE TRACKS AT MP 854.47, GAY RD CROSSING WHICH WAS CLOSED TO VEHICULAR TRAFFIC. THERE WAS NO EQUIPMENT DAMAGE AND THE AGE, GENDER OF DRIVER WAS NOT AVAILABLE."
10/03/16 14:00,"NEW YORK -BRONX, NEW YORK",AVENUE C,CSX Transportation,Y22010 WAS SHOVING WEST ON THE MARKET LEAD WITH ONE LOCOMOTIVE CSXT 2718 AND ONE CABOOSE CR 2110. AS THEY WERE SHOVING OVER THE CASA CROSSING A PICK UP TRUCK PULLED OUT WITH OUT STOPPING AND THEY HITTHE REAR PASSENGER SIDE QUARTER PANEL OF THE TRUCK. NO DAMAGE TO THE CABOOSE OR ANY OTHER EQUIPMENT.
10/03/16 11:54,"FORT WORTH, TEXAS",SEMINARY DRIVE,Union Pacific Railroad Company,VEHICLE WAS INVOLVED IN A MVA WHICH RESULTED IN THE VEHICLE FLIPPING OVER AND LANDING ON THE GRADE CROSSING. VEHICLE OCCUPANTS GOT OUT OF THE VEHICLE PRIOR TO THE GATES COMING DOWN AND WERE NOT IN THE VEHICLE AT THE TIME THE TRAIN IMPACTED THE VEHICLE.
10/03/16 9:45,"HOMER, ILLINOIS",CTY/MAPLE AVE,Norfolk Southern Corporation,NS TRAIN 121D109 STRUCK A HWY-USER AT A HWY-GRADE CROSSING. DRIVER'S AGE VERIFIED.
10/03/16 6:30,"WILMER, TEXAS",ADAMS ST,Union Pacific Railroad Company,SEMI-TRUCK WAS STUCK ON THE CROSSING PRIOR TO THE GATES DESCENDING.
09/03/16 5:42,"SAN DIEGO, CALIFORNIA",SAMPSON STREET,San Diego Trolley Incorporated,A BICYLIST OPERATED HIS BICYCLE UNDER THE GATE ARMS AT A GRADE CROSSING AND INTO THE PATH OF A WESTBOUND TRAIN. THE PEDESTRIAN WAS PRONOUNCED DECEASED ON SCENE.
09/03/16 2:17,"SELMA, NORTH CAROLINA",RICKS ROAD,Amtrak (National Railroad Passenger Corporation),"TRAIN 98 OPERATING WITH LOCOMOTIVES E/19-E/168 AND 10 CARS STRUCK AN OCCUPIED VEHICLE AT MP 161.84,RICKS RD CROSSING"
08/03/16 21:00,"DAYTON, TEXAS",WACO STREET,Union Pacific Railroad Company,DRIVER WENT AROUND THE ACTIVATED CROSSING GATES.
08/03/16 18:06,VIRGINIA,CURTIS ST,Amtrak (National Railroad Passenger Corporation),"AUTO TRAIN 53 OPERATING WITH LOCOMOTIVES E/814-E/832 AND 37 CARS STRUCK AN UNOCCUPIED VEHICLE THAT WAS STUCK ON THE TRACKS AT MP A13.18, CURTIS ST CROSSING. DRIVER DROVE ONTO TRACKS GOT STUCK AND WAS PULLED FROM VEHICLE PRIOR TO IMPACT. AMTRAKS EQUIPMENT DAMAGE IS $2,737.00."
08/03/16 14:56,"SLATON, TEXAS",FM 0400,BNSF Railway Company,41: UNOCCUPIED VEHICLE
08/03/16 11:50,"BREMEN, GEORGIA",CS602/AYERS ST.,Norfolk Southern Corporation,NS TRAIN 27AA107 STRUCK A HWY-USER AT A HWY-GRADE CROSSING.
08/03/16 0:30,"FORT STOCKTON, TEXAS",US67,Texas Pacifico Transportation Limited,"FSYD-7 CREW HEADING EASTBOUND OVER US 67 CROSSING AT MP910.48, AT APPROX 1230AM, CONDUCTOR WAS WATCHING THE ROLL BY ON THE CONDUCTORS SIDE WHEN HE SAW APPROACHING TRUCK COME FROM THE ENGINEERS SIDE ASTRIKE THE 8TH RAILCAR THAT WAS OVER THE CROSSING. CONDUCTOR TO THE ENGINEER OVER THE RADIO TO STOPTHE TRAIN AND THE ENGINEER PUT THE TRAIN INTO EMERGENCY. CONDUCTOR CHECK ON THE DRIVER OF THE TRUCKAND HE WAS OK, THAT CROSSING HAS FLASHING WARNING LIGHTS AND WERE WORKING. DRIVER OF THE TRUCK FAILE"
07/03/16 19:00,"ROMULUS, MICHIGAN",PRIVATE,CSX Transportation,D71607 STRUCK A GREY 2010 FORD RANGER THAT WAS PARKED ON THE TRACKS.
07/03/16 17:35,"BARTLETT, TENNESSEE",OAK ROAD,CSX Transportation,"M79007 REPORTS HITTING UNOCCUPIED CAR AT THE CROSSING ON OAK STREET. THERE WERE NO INJURIES TO THE CREW. DRIVERS NAME, AGE AND GENDER ARE UNKNOWN."
07/03/16 10:39,"OIL CITY, LOUISIANA",MAIN STREET,Kansas City Southern Railway Company,"THE WARNING SYSTEMS HAD BEEN DISABLED TO ALLOW THE PLOW TO WORK. AS HE WAS ENDING HIS SHIFT, HE BACKED INTO A PICK-UP TRUCK AS IT MOVED OVER THE CROSSING."
07/03/16 10:15,"TORNILLO, TEXAS",OLD MILL ROAD,Union Pacific Railroad Company,DUMP TRUCK WAS HIGH CENTERED ON CROSSING PRIOR TO THE GATES DESCENDING.
07/03/16 7:31,"JACKSONVILLE, FLORIDA",MCQUADE/BROADWAY,Amtrak (National Railroad Passenger Corporation),"TRAIN 91 OPERATING WITH LOCOMOTIVE E/134 AND 7 CARS STRUCK A PEDESTRIAN RIDING A BICYCLE AT MP A642.2, MC QUADE ST CROSSING. THERE WAS NO EQUIPMENT DAMAGE."
07/03/16 1:21,NORTH CAROLINA,OLD DOWD RD,Amtrak (National Railroad Passenger Corporation),"TRAIN 20 OPERATING WITH LOCOMOTIVES E/205-E/816 AND 9 CARS STRUCK AN UNOCCUPIED SUV THAT WAS ABANDONED AT MP 385.51, OLD DOWD RD CROSSING. THE VEHICLE MAY HAVE BEEN STOLEN AND LEFT ON THE CROSSING ON THE TRACKS. THE DRIVERS AGE AND GENDER WERE NOT AVAILABLE."
06/03/16 14:23,MINNESOTA,CTY34/2ND ST SOUTH,Canadian Pacific Railway Company,"551-616'S TRAIN WAS TRAVELING TIMETABLE WEST (COMPASS NORTH) ON THE PAYNESVILLE SUBDIVISION WHEN THEIR LOCOMOTIVE MADE CONTACT WITH A STALLED VEHICLE ON THE TRACKS, BETWEEN DOWNED CROSSING GATES. VEHICLE DID NOT DRIVE AROUND GATES, THE GATES CAME DOWN AS VEHICLE WAS STOPPED ON THE TRACKS (NON-TRESPASSER). DOWNLOAD SHOWS ELDERLY MALE OCCUPANT MAKING AN ATTEMPT TO EXIT VEHICLE, BUT WAS THROWN FROMTHE VEHICLE AND TAKEN TO A HOSPITAL WITH NON-LIFE THREATENING INJURIES. NO DAMAGE TO LOCOMOTIVE, TRA"
06/03/16 13:00,ARKANSAS,WINE DOT ROAD,Union Pacific Railroad Company,VEHICLE PULLED OUT IN FRONT OF TRAIN AND WAS STRUCK BY THE TRAIN.
06/03/16 1:00,"HOUSTON, TEXAS",LYONS AVE.,Union Pacific Railroad Company,HIGHWAY USER'S ACTIONS: WENT AROUND THE GATE - MOVING.
06/03/16 0:23,"HOUSTON, TEXAS",5800 LONG ROAD,Union Pacific Railroad Company,DRIVER WENT CROSSING WHILE TRAIN OCCUPIED THE CROSSING AND STRUCK A RAIL CAR.
05/03/16 20:07,FLORIDA,LEONARD S,Amtrak (National Railroad Passenger Corporation),"TRAIN 92 OPERATING WITH LOCOMOTIVE E/88 AND 7 CARS STRUCK A PEDESTRIAN ON BICYCLE AT MP A780.36, LEONARD ST CROSSING. PEDESTRIAN RODE AROUND GATES, LAID THE BIKE DOWN BEFORE THE TRAIN STRUCK THE BICYCLE. THE PEDESTRIAN REFUSED MEDICAL TREATMENT."
05/03/16 19:15,"WALCOTT, IOWA",190TH STREET,Iowa Interstate Railroad,DRIVER OF VEHICLE STATED HER GPS TOLD HER TO TURN AT STOP SIGN NEXT TO CROSS BUCKS. SHE TURNED ONTO THE TRACKS INSTEAD AND HER CAR BECAME STUCK STRADDLING THE NORTH RAIL. SHE EXITED THE VEHICLE TO GET HELP AND A SHORT TIME LATER THE SASI-05 CAME ALONG AND STRUCK HER VEHICLE.
05/03/16 9:54,WISCONSIN,5TH AVE,Union Pacific Railroad Company,VEHICLE DID NOT STOP PRIOR TO ENTERING THE CROSSING AND WAS STRUCK BY THE TRAIN. #32 WARNING DEVICES - YIELD SIGN
